,Expiry,Tenor,Alpha,Nu,Rho,Sigma,Beta
0,10Y,10Y,0.1647722012298151,0.6003628966651794,-0.4207890144093051,0.2437,0.004459101809727778
1,10Y,1Y,0.17606053885986517,1.0006752769902378,-0.5402402017031587,0.2854,3.216239831636032e-07
2,10Y,2Y,0.19140156370542774,0.9144219076021017,-0.5329540038777959,0.2928,1.000057720009352e-07
3,10Y,3Y,0.2000191346354682,0.8531724396411338,-0.5311218825950083,0.294,1.9927726573326773e-06
4,10Y,5Y,0.18184870543408027,0.7048933694387824,-0.49088232686834693,0.26739999999999997,2.447619741997864e-05
5,1Y,10Y,0.17108322488349753,0.7778035541057939,-0.26465550842975716,0.2447,2.5861655260542104e-07
6,1Y,1Y,0.13906709286900423,2.0495356434424603,-0.6332409298255207,0.225,4.831147070559403e-07
7,1Y,2Y,0.18465167338095323,1.6773692991269546,-0.5251151370433013,0.2872,3.578737054312289e-08
8,1Y,3Y,0.196852277542962,1.4381226893432124,-0.48284644869573345,0.2978,1.910510004980671e-07
9,1Y,5Y,0.17805196654982722,1.0648764465145208,-0.41442041465852164,0.2607,6.681483703814117e-07
10,5Y,10Y,0.1711909511869565,0.5308197220548747,-0.37575895346370525,0.2451,0.050176311867238754
11,5Y,1Y,0.16626297111520738,1.3375755036012666,-0.5839269063922597,0.2726,2.1622720125351064e-07
12,5Y,2Y,0.19849662165284349,1.0588992184979784,-0.5424897575338713,0.2983,2.1016444544923744e-06
13,5Y,3Y,0.20723055950800384,0.9333277767068129,-0.5367309635126888,0.2998,2.361981598366324e-08
14,5Y,5Y,0.1882377876050489,0.6800064218455552,-0.49356380940028993,0.266,3.387584888491467e-06
