Tenor,OIS product,OIS rate,OIS overnight rate,OIS discount factor,IRS product,IRS rate,LIBOR forward rate,LIBOR discount factor
0.5,OIS,0.0025,0.002496888857512758,0.9987531122413192,LIBOR,0.025,0.025,0.9876543209876544
1.0,OIS,0.003,0.0029955214424148835,0.9970134249073146,IRS,0.028,0.03100523469581415,0.9725768344812528
2.0,OIS,0.00325,0.0032447447874961455,0.9935523523671046,IRS,0.03,0.03226329174950745,0.9421790373199297
3.0,OIS,0.00335,0.003344416785191484,0.9900664157818148,IRS,0.0315,0.034813859680652266,0.9104816566823813
4.0,OIS,0.0035,0.0034939062088312767,0.986217001185216,IRS,0.0325,0.03583772345402866,0.8789809794205562
5.0,OIS,0.0036,0.0035935534456132956,0.9823493750917155,IRS,0.033,0.035325755615771046,0.848989774139032
7.0,OIS,0.004,0.00399204340328474,0.9728153522335146,IRS,0.035,0.04129649166655476,0.7842188035665487
10.0,OIS,0.0045,0.004489933271898394,0.9570299919685572,IRS,0.037,0.044028843285641606,0.6927198433017837
15.0,OIS,0.005,0.00498757606063549,0.9303938486989956,IRS,0.04,0.05138486476945234,0.5511229516041742
20.0,OIS,0.00525,0.005236304876659048,0.9052017529349301,IRS,0.045,0.06991473832768137,0.4083681795360882
30.0,OIS,0.0055,0.005484972014739853,0.8587014047739179,IRS,0.05,0.08232323193012765,0.22398033164121875
